level,name,sub_code,sub_label,class_range,nipun_strand,is_review,num_images,image_search_queries,question_gen_prompt
4,Numbers 1-10,4.1,Easier_Remediation,1,Number Sense,False,14,numbers 1-10 worksheet easy bw; counting 1-10 worksheet easy bw; number recognition 1-10 easy bw; count and write 1-10 easy bw; number matching 1-10 easy bw; count objects 1-10 easy bw; number tracing 1-10 easy bw; preschool numbers 1-10 easy bw; number identification 1-10 easy bw; count and circle 1-10 easy bw,SIMPLER VERSION — Recognise and count numbers 1-10. Match numeral to quantity of objects. Count objects and circle/write correct number. Easier: count to 10. Easier: count 1-5. Further: trace numerals 1-5.
4,Numbers 1-10,4.2,Further_Remediation,1,Number Sense,False,14,numbers 1-10 worksheet beginner bw; counting 1-10 worksheet beginner bw; number recognition 1-10 beginner bw; count and write 1-10 beginner bw; number matching 1-10 beginner bw; count objects 1-10 beginner bw; number tracing 1-10 beginner bw; preschool numbers 1-10 beginner bw; number identification 1-10 beginner bw; count and circle 1-10 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Recognise and count numbers 1-10. Match numeral to quantity of objects. Count objects and circle/write correct number. Further: count to 10. Easier: count 1-5. Further: trace numerals 1-5."
5,Finger Gesture Counting,5.0,Mastery,1,Number Sense,False,18,finger counting worksheet bw; count fingers worksheet bw; finger number matching bw; hand gesture counting bw; finger count 1-10 bw; counting with fingers worksheet bw; finger number worksheet bw; match fingers to numbers bw; finger counting activity bw; how many fingers worksheet bw,Match hand gestures to quantities 1-10. Count fingers shown. Connect finger picture to correct numeral. Builds one-to-one correspondence through familiar body representation.
5,Finger Gesture Counting,5.1,Easier_Remediation,1,Number Sense,False,14,finger counting worksheet easy bw; count fingers worksheet easy bw; finger number matching easy bw; hand gesture counting easy bw; finger count 1-10 easy bw; counting with fingers worksheet easy bw; finger number worksheet easy bw; match fingers to numbers easy bw; finger counting activity easy bw; how many fingers worksheet easy bw,SIMPLER VERSION — Match hand gestures to quantities 1-10. Count fingers shown. Connect finger picture to correct numeral. Builds one-to-one correspondence through familiar body representation.
5,Finger Gesture Counting,5.2,Further_Remediation,1,Number Sense,False,14,finger counting worksheet beginner bw; count fingers worksheet beginner bw; finger number matching beginner bw; hand gesture counting beginner bw; finger count 1-10 beginner bw; counting with fingers worksheet beginner bw; finger number worksheet beginner bw; match fingers to numbers beginner bw; finger counting activity beginner bw; how many fingers worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Match hand gestures to quantities 1-10. Count fingers shown. Connect finger picture to correct numeral. Builds one-to-one correspondence through familiar body representation."
6,"After, Between, Before",6.0,Mastery,1,Number Sense,False,18,after between before worksheet bw; numbers before after between bw; what comes after worksheet bw; what comes between worksheet bw; what comes before worksheet bw; number sequence 1-10 bw; before after numbers worksheet bw; between numbers worksheet bw; ordering numbers 1-10 bw; number sequencing worksheet bw,"What comes before, after, or between numbers 1-10. Use number line support. Mastery: 1-10. Easier: 1-5 with number line. Further: 1-3 with visual number strip."
6,"After, Between, Before",6.1,Easier_Remediation,1,Number Sense,False,14,after between before worksheet easy bw; numbers before after between easy bw; what comes after worksheet easy bw; what comes between worksheet easy bw; what comes before worksheet easy bw; number sequence 1-10 easy bw; before after numbers worksheet easy bw; between numbers worksheet easy bw; ordering numbers 1-10 easy bw; number sequencing worksheet easy bw,"SIMPLER VERSION — What comes before, after, or between numbers 1-10. Use number line support. Easier: 1-10. Easier: 1-5 with number line. Further: 1-3 with visual number strip."
6,"After, Between, Before",6.2,Further_Remediation,1,Number Sense,False,14,after between before worksheet beginner bw; numbers before after between beginner bw; what comes after worksheet beginner bw; what comes between worksheet beginner bw; what comes before worksheet beginner bw; number sequence 1-10 beginner bw; before after numbers worksheet beginner bw; between numbers worksheet beginner bw; ordering numbers 1-10 beginner bw; number sequencing worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. What comes before, after, or between numbers 1-10. Use number line support. Further: 1-10. Easier: 1-5 with number line. Further: 1-3 with visual number strip."
7,Addition through Objects,7.0,Mastery,1,Number Operations,False,18,addition with objects worksheet bw; addition using pictures bw; adding objects worksheet bw; simple addition pictures bw; addition 1-10 with pictures bw; count and add worksheet bw; picture addition kindergarten bw; visual addition worksheet bw; addition sums with objects bw; beginner addition objects bw,"Add by counting objects. Two groups shown, find total. Mastery: sums up to 10 with objects. Easier: sums up to 5 (1+1, 1+2, 2+2). Further: add 1 more to a group (up to 5). One-to-one correspondence: show fingers matching objects."
7,Addition through Objects,7.1,Easier_Remediation,1,Number Operations,False,14,addition with objects worksheet easy bw; addition using pictures easy bw; adding objects worksheet easy bw; simple addition pictures easy bw; addition 1-10 with pictures easy bw; count and add worksheet easy bw; picture addition kindergarten easy bw; visual addition worksheet easy bw; addition sums with objects easy bw; beginner addition objects easy bw,"SIMPLER VERSION — Add by counting objects. Two groups shown, find total. Easier: sums up to 10 with objects. Easier: sums up to 5 (1+1, 1+2, 2+2). Further: add 1 more to a group (up to 5). One-to-one correspondence: show fingers matching objects."
7,Addition through Objects,7.2,Further_Remediation,1,Number Operations,False,14,addition with objects worksheet beginner bw; addition using pictures beginner bw; adding objects worksheet beginner bw; simple addition pictures beginner bw; addition 1-10 with pictures beginner bw; count and add worksheet beginner bw; picture addition kindergarten beginner bw; visual addition worksheet beginner bw; addition sums with objects beginner bw; beginner addition objects beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Add by counting objects. Two groups shown, find total. Further: sums up to 10 with objects. Easier: sums up to 5 (1+1, 1+2, 2+2). Further: add 1 more to a group (up to 5). One-to-one correspondence: show fingers matching objects."
8,Subtraction (1-10),8.0,Mastery,1,Number Operations,False,18,subtraction with objects worksheet bw; subtraction using pictures bw; take away objects worksheet bw; simple subtraction pictures bw; subtraction 1-10 with pictures bw; cross out subtraction bw; picture subtraction worksheet bw; visual subtraction worksheet bw; subtraction sums with objects bw; beginner subtraction objects bw,"Take away objects and count what remains. Cross out pictures to subtract. Mastery: subtract within 10 with objects. Easier: subtract 1 or 2 from groups up to 5. Further: show result, identify how many were taken away."
8,Subtraction (1-10),8.1,Easier_Remediation,1,Number Operations,False,14,subtraction with objects worksheet easy bw; subtraction using pictures easy bw; take away objects worksheet easy bw; simple subtraction pictures easy bw; subtraction 1-10 with pictures easy bw; cross out subtraction easy bw; picture subtraction worksheet easy bw; visual subtraction worksheet easy bw; subtraction sums with objects easy bw; beginner subtraction objects easy bw,"SIMPLER VERSION — Take away objects and count what remains. Cross out pictures to subtract. Easier: subtract within 10 with objects. Easier: subtract 1 or 2 from groups up to 5. Further: show result, identify how many were taken away."
8,Subtraction (1-10),8.2,Further_Remediation,1,Number Operations,False,14,subtraction with objects worksheet beginner bw; subtraction using pictures beginner bw; take away objects worksheet beginner bw; simple subtraction pictures beginner bw; subtraction 1-10 with pictures beginner bw; cross out subtraction beginner bw; picture subtraction worksheet beginner bw; visual subtraction worksheet beginner bw; subtraction sums with objects beginner bw; beginner subtraction objects beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Take away objects and count what remains. Cross out pictures to subtract. Further: subtract within 10 with objects. Easier: subtract 1 or 2 from groups up to 5. Further: show result, identify how many were taken away."
9,Pattern Recognition + Tracing,9.0,Mastery,1,Patterns,False,18,pattern recognition worksheet bw; complete the pattern worksheet bw; ab pattern worksheet bw; tracing patterns worksheet bw; copy the pattern worksheet bw; pattern sequencing worksheet bw; shape pattern worksheet bw; repeating patterns worksheet bw; pattern copying activity bw; simple patterns worksheet bw,Complete AB/ABB patterns. Trace pattern elements. Pattern complexity increases with number of items in cycle. Mastery: AB patterns (easy: 🔴🔵🔴🔵__). Easier: copy given pattern. Further: trace to complete. Avoid multi-attribute patterns (shape+color) that cause cognitive overload.
9,Pattern Recognition + Tracing,9.1,Easier_Remediation,1,Patterns,False,14,pattern recognition worksheet easy bw; complete the pattern worksheet easy bw; ab pattern worksheet easy bw; tracing patterns worksheet easy bw; copy the pattern worksheet easy bw; pattern sequencing worksheet easy bw; shape pattern worksheet easy bw; repeating patterns worksheet easy bw; pattern copying activity easy bw; simple patterns worksheet easy bw,SIMPLER VERSION — Complete AB/ABB patterns. Trace pattern elements. Pattern complexity increases with number of items in cycle. Easier: AB patterns (easy: 🔴🔵🔴🔵__). Easier: copy given pattern. Further: trace to complete. Avoid multi-attribute patterns (shape+color) that cause cognitive overload.
9,Pattern Recognition + Tracing,9.2,Further_Remediation,1,Patterns,False,14,pattern recognition worksheet beginner bw; complete the pattern worksheet beginner bw; ab pattern worksheet beginner bw; tracing patterns worksheet beginner bw; copy the pattern worksheet beginner bw; pattern sequencing worksheet beginner bw; shape pattern worksheet beginner bw; repeating patterns worksheet beginner bw; pattern copying activity beginner bw; simple patterns worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Complete AB/ABB patterns. Trace pattern elements. Pattern complexity increases with number of items in cycle. Further: AB patterns (easy: 🔴🔵🔴🔵__). Easier: copy given pattern. Further: trace to complete. Avoid multi-attribute patterns (shape+color) that cause cognitive overload."
10,Comparison - Numeral,10.0,Mastery,1,Number Sense,False,18,compare numbers 1-10 worksheet bw; greater less than worksheet bw; number comparison worksheet bw; compare numerals worksheet bw; more less equal numbers bw; greater than less than worksheet bw; comparing numbers symbols bw; number inequality worksheet bw; compare quantities worksheet bw; which is greater worksheet bw,"Compare numbers 1-10 using >, <, =. Now using numerals (not just objects). Child must hold both numbers, compare, decide relation. Mastery: any single-digit. Easier: compare numeral to dot group. Further: 1-5 only with visual prompt."
10,Comparison - Numeral,10.1,Easier_Remediation,1,Number Sense,False,14,compare numbers 1-10 worksheet easy bw; greater less than worksheet easy bw; number comparison worksheet easy bw; compare numerals worksheet easy bw; more less equal numbers easy bw; greater than less than worksheet easy bw; comparing numbers symbols easy bw; number inequality worksheet easy bw; compare quantities worksheet easy bw; which is greater worksheet easy bw,"SIMPLER VERSION — Compare numbers 1-10 using >, <, =. Now using numerals (not just objects). Child must hold both numbers, compare, decide relation. Easier: any single-digit. Easier: compare numeral to dot group. Further: 1-5 only with visual prompt."
10,Comparison - Numeral,10.2,Further_Remediation,1,Number Sense,False,14,compare numbers 1-10 worksheet beginner bw; greater less than worksheet beginner bw; number comparison worksheet beginner bw; compare numerals worksheet beginner bw; more less equal numbers beginner bw; greater than less than worksheet beginner bw; comparing numbers symbols beginner bw; number inequality worksheet beginner bw; compare quantities worksheet beginner bw; which is greater worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Compare numbers 1-10 using >, <, =. Now using numerals (not just objects). Child must hold both numbers, compare, decide relation. Further: any single-digit. Easier: compare numeral to dot group. Further: 1-5 only with visual prompt."
11,Review Assessment 1,11.0,Mastery,1,Review,True,8,review assessment worksheet g1 bw; mixed math worksheet grade 1 bw; math review worksheet bw; assessment math worksheet g1 bw; cumulative review worksheet bw; mixed practice worksheet bw; math checkup worksheet bw; skill review worksheet g1 bw; math quiz grade 1 bw; test prep math worksheet g1 bw,"Cumulative review of Levels 1-10. Mix of visual comparison, odd one out, matching, counting 1-10, addition/subtraction with objects, patterns, numeral comparison. Balanced difficulty: 50% easy, 35% moderate, 15% hard."
11,Review Assessment 1,11.1,Easier_Remediation,1,Review,True,6,review assessment worksheet g1 easy bw; mixed math worksheet grade 1 easy bw; math review worksheet easy bw; assessment math worksheet g1 easy bw; cumulative review worksheet easy bw; mixed practice worksheet easy bw; math checkup worksheet easy bw; skill review worksheet g1 easy bw; math quiz grade 1 easy bw; test prep math worksheet g1 easy bw,"SIMPLER VERSION — Cumulative review of Levels 1-10. Mix of visual comparison, odd one out, matching, counting 1-10, addition/subtraction with objects, patterns, numeral comparison. Balanced difficulty: 50% easy, 35% moderate, 15% hard."
11,Review Assessment 1,11.2,Further_Remediation,1,Review,True,6,review assessment worksheet g1 beginner bw; mixed math worksheet grade 1 beginner bw; math review worksheet beginner bw; assessment math worksheet g1 beginner bw; cumulative review worksheet beginner bw; mixed practice worksheet beginner bw; math checkup worksheet beginner bw; skill review worksheet g1 beginner bw; math quiz grade 1 beginner bw; test prep math worksheet g1 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Cumulative review of Levels 1-10. Mix of visual comparison, odd one out, matching, counting 1-10, addition/subtraction with objects, patterns, numeral comparison. Balanced difficulty: 50% easy, 35% moderate, 15% hard."
12,Tens and Ones,12.0,Mastery,1-2,Place Value,False,18,tens and ones worksheet bw; place value blocks worksheet bw; tens ones worksheet bw; base ten blocks worksheet bw; place value 11-30 bw; tens and ones activity bw; regrouping tens ones bw; understanding tens ones bw; place value worksheet bw; count tens ones worksheet bw,"Identify tens and ones using block representations for numbers 11-30. Mastery: count blocks and write tens/ones. Easier: count total blocks and write number. Further: given a number, draw matching blocks."
12,Tens and Ones,12.1,Easier_Remediation,1-2,Place Value,False,14,tens and ones worksheet easy bw; place value blocks worksheet easy bw; tens ones worksheet easy bw; base ten blocks worksheet easy bw; place value 11-30 easy bw; tens and ones activity easy bw; regrouping tens ones easy bw; understanding tens ones easy bw; place value worksheet easy bw; count tens ones worksheet easy bw,"SIMPLER VERSION — Identify tens and ones using block representations for numbers 11-30. Easier: count blocks and write tens/ones. Easier: count total blocks and write number. Further: given a number, draw matching blocks."
12,Tens and Ones,12.2,Further_Remediation,1-2,Place Value,False,14,tens and ones worksheet beginner bw; place value blocks worksheet beginner bw; tens ones worksheet beginner bw; base ten blocks worksheet beginner bw; place value 11-30 beginner bw; tens and ones activity beginner bw; regrouping tens ones beginner bw; understanding tens ones beginner bw; place value worksheet beginner bw; count tens ones worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Identify tens and ones using block representations for numbers 11-30. Further: count blocks and write tens/ones. Easier: count total blocks and write number. Further: given a number, draw matching blocks."
13,Numbers 11-30,13.0,Mastery,1-2,Number Sense,False,18,numbers 11-30 worksheet bw; counting 11-30 worksheet bw; number recognition 11-30 bw; count and write 11-30 bw; number identification 11-30 bw; number sequencing 11-30 bw; write numbers 11-30 bw; counting objects 11-30 bw; number matching 11-30 bw; numbers 11 to 30 bw,"Recognise, read, write numbers 11-30. Teen numbers (11-20) are irregular — students often confuse 11&12, 13&30, 15&50. Longer attention span needed. Mastery: count and write 11-30. Easier: count objects 11-20. Further: trace numbers 11-15."
13,Numbers 11-30,13.1,Easier_Remediation,1-2,Number Sense,False,14,numbers 11-30 worksheet easy bw; counting 11-30 worksheet easy bw; number recognition 11-30 easy bw; count and write 11-30 easy bw; number identification 11-30 easy bw; number sequencing 11-30 easy bw; write numbers 11-30 easy bw; counting objects 11-30 easy bw; number matching 11-30 easy bw; numbers 11 to 30 easy bw,"SIMPLER VERSION — Recognise, read, write numbers 11-30. Teen numbers (11-20) are irregular — students often confuse 11&12, 13&30, 15&50. Longer attention span needed. Easier: count and write 11-30. Easier: count objects 11-20. Further: trace numbers 11-15."
13,Numbers 11-30,13.2,Further_Remediation,1-2,Number Sense,False,14,numbers 11-30 worksheet beginner bw; counting 11-30 worksheet beginner bw; number recognition 11-30 beginner bw; count and write 11-30 beginner bw; number identification 11-30 beginner bw; number sequencing 11-30 beginner bw; write numbers 11-30 beginner bw; counting objects 11-30 beginner bw; number matching 11-30 beginner bw; numbers 11 to 30 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Recognise, read, write numbers 11-30. Teen numbers (11-20) are irregular — students often confuse 11&12, 13&30, 15&50. Longer attention span needed. Further: count and write 11-30. Easier: count objects 11-20. Further: trace numbers 11-15."
14,Counting + Fun Trace,14.0,Mastery,1-2,Number Sense,False,18,counting fun worksheet bw; count and color worksheet bw; count and trace worksheet bw; fun counting worksheet bw; count and circle worksheet bw; number fun worksheet bw; count and match worksheet bw; counting activity worksheet bw; count objects color bw; preschool counting fun bw,Count objects and trace the matching number. Engaging visuals to maintain attention. Mastery: count and trace 11-30. Easier: count and trace 11-20 with dotted number guides. Further: count objects 11-15 and trace dotted numerals.
14,Counting + Fun Trace,14.1,Easier_Remediation,1-2,Number Sense,False,14,counting fun worksheet easy bw; count and color worksheet easy bw; count and trace worksheet easy bw; fun counting worksheet easy bw; count and circle worksheet easy bw; number fun worksheet easy bw; count and match worksheet easy bw; counting activity worksheet easy bw; count objects color easy bw; preschool counting fun easy bw,SIMPLER VERSION — Count objects and trace the matching number. Engaging visuals to maintain attention. Easier: count and trace 11-30. Easier: count and trace 11-20 with dotted number guides. Further: count objects 11-15 and trace dotted numerals.
14,Counting + Fun Trace,14.2,Further_Remediation,1-2,Number Sense,False,14,counting fun worksheet beginner bw; count and color worksheet beginner bw; count and trace worksheet beginner bw; fun counting worksheet beginner bw; count and circle worksheet beginner bw; number fun worksheet beginner bw; count and match worksheet beginner bw; counting activity worksheet beginner bw; count objects color beginner bw; preschool counting fun beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Count objects and trace the matching number. Engaging visuals to maintain attention. Further: count and trace 11-30. Easier: count and trace 11-20 with dotted number guides. Further: count objects 11-15 and trace dotted numerals."
15,"After, Between, Before (11-30)",15.0,Mastery,1-2,Number Sense,False,18,before after between 1-30 bw; what comes after 11-30 bw; what comes before 11-30 bw; what comes between 11-30 bw; number sequence 11-30 bw; ordering numbers 11-30 bw; before after worksheet bw; between numbers 11-30 bw; number missing 11-30 bw; sequence numbers worksheet bw,"What comes before, after, between for numbers 11-30. Use number line support. Mastery: 11-30 sequence gaps. Easier: 11-20 with number line visible. Further: 11-15 with colour-coded number strip."
15,"After, Between, Before (11-30)",15.1,Easier_Remediation,1-2,Number Sense,False,14,before after between 1-30 easy bw; what comes after 11-30 easy bw; what comes before 11-30 easy bw; what comes between 11-30 easy bw; number sequence 11-30 easy bw; ordering numbers 11-30 easy bw; before after worksheet easy bw; between numbers 11-30 easy bw; number missing 11-30 easy bw; sequence numbers worksheet easy bw,"SIMPLER VERSION — What comes before, after, between for numbers 11-30. Use number line support. Easier: 11-30 sequence gaps. Easier: 11-20 with number line visible. Further: 11-15 with colour-coded number strip."
15,"After, Between, Before (11-30)",15.2,Further_Remediation,1-2,Number Sense,False,14,before after between 1-30 beginner bw; what comes after 11-30 beginner bw; what comes before 11-30 beginner bw; what comes between 11-30 beginner bw; number sequence 11-30 beginner bw; ordering numbers 11-30 beginner bw; before after worksheet beginner bw; between numbers 11-30 beginner bw; number missing 11-30 beginner bw; sequence numbers worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. What comes before, after, between for numbers 11-30. Use number line support. Further: 11-30 sequence gaps. Easier: 11-20 with number line visible. Further: 11-15 with colour-coded number strip."
16,Addition (1-30),16.0,Mastery,1-2,Number Operations,False,18,addition 1-30 worksheet bw; addition up to 30 bw; adding with objects 1-30 bw; addition sums 1-30 bw; addition practice 1-30 bw; addition number line 1-30 bw; simple addition 1-30 bw; addition with pictures to 30 bw; addition problems 1-30 bw; add and count worksheet bw,"Add numbers with sums up to 30. Objects + numerals. Difficulty: easy (1+1, 1+2) requires one-to-one correspondence; moderate (4+3, 5+2) needs counting ability; hard (8+7, 9+6) needs grouping/decomposition strategies. Mastery: mix of all levels. Easier: sums ≤ 15. Further: sums ≤ 10 with visual objects."
16,Addition (1-30),16.1,Easier_Remediation,1-2,Number Operations,False,14,addition 1-30 worksheet easy bw; addition up to 30 easy bw; adding with objects 1-30 easy bw; addition sums 1-30 easy bw; addition practice 1-30 easy bw; addition number line 1-30 easy bw; simple addition 1-30 easy bw; addition with pictures to 30 easy bw; addition problems 1-30 easy bw; add and count worksheet easy bw,"SIMPLER VERSION — Add numbers with sums up to 30. Objects + numerals. Difficulty: easy (1+1, 1+2) requires one-to-one correspondence; moderate (4+3, 5+2) needs counting ability; hard (8+7, 9+6) needs grouping/decomposition strategies. Easier: mix of all levels. Easier: sums ≤ 15. Further: sums ≤ 10 with visual objects."
16,Addition (1-30),16.2,Further_Remediation,1-2,Number Operations,False,14,addition 1-30 worksheet beginner bw; addition up to 30 beginner bw; adding with objects 1-30 beginner bw; addition sums 1-30 beginner bw; addition practice 1-30 beginner bw; addition number line 1-30 beginner bw; simple addition 1-30 beginner bw; addition with pictures to 30 beginner bw; addition problems 1-30 beginner bw; add and count worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Add numbers with sums up to 30. Objects + numerals. Difficulty: easy (1+1, 1+2) requires one-to-one correspondence; moderate (4+3, 5+2) needs counting ability; hard (8+7, 9+6) needs grouping/decomposition strategies. Further: mix of all levels. Easier: sums ≤ 15. Further: sums ≤ 10 with visual objects."
17,Subtraction (1-30),17.0,Mastery,1-2,Number Operations,False,18,subtraction 1-30 worksheet bw; subtraction up to 30 bw; subtract with objects 1-30 bw; subtraction sums 1-30 bw; subtraction practice 1-30 bw; subtraction number line 1-30 bw; simple subtraction 1-30 bw; subtraction with pictures to 30 bw; subtraction problems 1-30 bw; take away worksheet 1-30 bw,Subtract numbers with minuends up to 30. Objects + numerals. Uses backward counting skill. Mastery: any subtraction within 30 with objects. Easier: minuends ≤ 15. Further: minuends ≤ 10 with visible objects to cross out.
17,Subtraction (1-30),17.1,Easier_Remediation,1-2,Number Operations,False,14,subtraction 1-30 worksheet easy bw; subtraction up to 30 easy bw; subtract with objects 1-30 easy bw; subtraction sums 1-30 easy bw; subtraction practice 1-30 easy bw; subtraction number line 1-30 easy bw; simple subtraction 1-30 easy bw; subtraction with pictures to 30 easy bw; subtraction problems 1-30 easy bw; take away worksheet 1-30 easy bw,SIMPLER VERSION — Subtract numbers with minuends up to 30. Objects + numerals. Uses backward counting skill. Easier: any subtraction within 30 with objects. Easier: minuends ≤ 15. Further: minuends ≤ 10 with visible objects to cross out.
17,Subtraction (1-30),17.2,Further_Remediation,1-2,Number Operations,False,12,subtraction 1-30 worksheet beginner bw; subtraction up to 30 beginner bw; subtract with objects 1-30 beginner bw; subtraction sums 1-30 beginner bw; subtraction practice 1-30 beginner bw; subtraction number line 1-30 beginner bw; simple subtraction 1-30 beginner bw; subtraction with pictures to 30 beginner bw; subtraction problems 1-30 beginner bw; take away worksheet 1-30 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Subtract numbers with minuends up to 30. Objects + numerals. Uses backward counting skill. Further: any subtraction within 30 with objects. Easier: minuends ≤ 15. Further: minuends ≤ 10 with visible objects to cross out."
18,Ordering,18.0,Mastery,2,Number Sense,False,18,ascending descending order bw; order numbers worksheet bw; arrange numbers order bw; least to greatest worksheet bw; greatest to least worksheet bw; number ordering worksheet bw; ascending order worksheet bw; descending order worksheet bw; order numbers 1-30 bw; increasing decreasing order bw,Arrange numbers in ascending/descending order. Mastery: order 5 numbers up to 50. Easier: order 3-4 numbers up to 30. Further: order 3 numbers with number line support.
